major_heading,major_heading_Thai,activity_code,met_value,activity_description,activity_description_Thai,target_group
Religious Activities,กิจกรรมทางศาสนา,20100,1.3,"Typing, electric, manual, or computer","การพิมพ์, ไฟฟ้า, ด้วยมือ หรือคอมพิวเตอร์",adult
Volunteer Activities,กิจกรรมอาสาสมัคร,21000,1.3,"Sitting, meeting, general, and/or with talking involved",การนั่ง การประชุม ทั่วไป และ/หรือเกี่ยวข้องกับการพูดคุย,adult
Volunteer Activities,กิจกรรมอาสาสมัคร,21005,1.5,"Sitting, light office work, in general",โดยทั่วไปแล้ว เหมาะสำหรับการนั่งทำงานเบาๆ ในสำนักงาน,adult
Volunteer Activities,กิจกรรมอาสาสมัคร,21010,2.5,"Sitting, moderate work",นั่งทำงานปานกลาง,adult
Volunteer Activities,กิจกรรมอาสาสมัคร,21015,1.8,"Standing, light work (filing, talking, assembling)",งานที่ต้องยืนตลอดเวลา งานเบา (เช่น การจัดเก็บเอกสาร การพูดคุย การประกอบชิ้นส่วน),adult
Volunteer Activities,กิจกรรมอาสาสมัคร,21016,2,"Sitting, child care, only active periods",นั่งดูแลเด็ก เฉพาะช่วงเวลาที่มีกิจกรรมเท่านั้น,adult
Volunteer Activities,กิจกรรมอาสาสมัคร,21017,3.5,"Standing, child care, only active periods",การยืน การดูแลเด็ก เฉพาะช่วงเวลาที่มีกิจกรรม,adult
Volunteer Activities,กิจกรรมอาสาสมัคร,21018,3.5,"Walk/run play with children, moderate, only active periods",เดินเล่น/วิ่งเล่นกับเด็กๆ ในระดับปานกลาง เฉพาะช่วงเวลาที่ออกกำลังกายเท่านั้น,adult
Volunteer Activities,กิจกรรมอาสาสมัคร,21019,5.8,"Walk/run play with children, vigorous, only active periods",เดินเล่น/วิ่งเล่นกับเด็กๆ ออกกำลังกายอย่างกระฉับกระเฉง เฉพาะช่วงเวลาที่ออกกำลังกายเท่านั้น,adult
Volunteer Activities,กิจกรรมอาสาสมัคร,21020,3.3,"Standing, light/moderate work (e.g., pack boxes, assemble/repair, set up chairs/furniture)",งานที่ต้องยืนตลอดเวลา เป็นงานเบาถึงปานกลาง (เช่น บรรจุกล่อง ประกอบ/ซ่อมแซม จัดวางเก้าอี้/เฟอร์นิเจอร์),adult
Volunteer Activities,กิจกรรมอาสาสมัคร,21025,3.5,"Standing, moderate (e.g., lifting 50 lbs., assembling at fast rate)",ยืนทำงานในระดับปานกลาง (เช่น ยกของหนัก 50 ปอนด์ ประกอบชิ้นส่วนด้วยความเร็วสูง),adult
Volunteer Activities,กิจกรรมอาสาสมัคร,21030,4.5,"Standing, moderate/heavy work","ยืนทำงาน, งานระดับปานกลาง/หนัก",adult
Volunteer Activities,กิจกรรมอาสาสมัคร,21035,1.3,"Typing, electric, manual, or computer","การพิมพ์, ไฟฟ้า, ด้วยมือ หรือคอมพิวเตอร์",adult
Volunteer Activities,กิจกรรมอาสาสมัคร,21040,2.3,"Walking, less than 2.0 mph, very slow",เดินด้วยความเร็วต่ำกว่า 2 ไมล์ต่อชั่วโมง ช้ามาก,adult
Volunteer Activities,กิจกรรมอาสาสมัคร,21045,3.8,"Walking, 2.8 to 3.4 mph, moderate speed, not carrying anything",เดินด้วยความเร็วปานกลาง 2.8 ถึง 3.4 ไมล์ต่อชั่วโมง ไม่ได้ถือสิ่งของใดๆ,adult
Volunteer Activities,กิจกรรมอาสาสมัคร,21050,4.8,"Walking, 3.5 to 3.9 mph, brisk speed, not carrying anything",เดินด้วยความเร็ว 3.5 ถึง 3.9 ไมล์ต่อชั่วโมง (ค่อนข้างเร็ว) และไม่ได้ถือสิ่งของใดๆ,adult
Volunteer Activities,กิจกรรมอาสาสมัคร,21055,3.5,"Walking, 2.5 mph slowly and carrying objects less than 25 pounds",เดินช้าๆ ด้วยความเร็ว 2.5 ไมล์ต่อชั่วโมง และถือสิ่งของที่มีน้ำหนักน้อยกว่า 25 ปอนด์,adult
Volunteer Activities,กิจกรรมอาสาสมัคร,21060,4.5,"Walking, 3.0 mph moderately and carrying objects less than 25 pounds, pushing something",เดินด้วยความเร็วปานกลาง 3.0 ไมล์ต่อชั่วโมง และถือสิ่งของที่มีน้ำหนักน้อยกว่า 25 ปอนด์ หรือกำลังผลักสิ่งของอยู่,adult
Volunteer Activities,กิจกรรมอาสาสมัคร,21065,4.5,"Walking, 3.5 mph, briskly and carrying objects less than 25 pounds",เดินเร็ว 3.5 ไมล์ต่อชั่วโมง และถือสิ่งของที่มีน้ำหนักน้อยกว่า 25 ปอนด์,adult
Volunteer Activities,กิจกรรมอาสาสมัคร,21070,3,"Walk/stand combination, for volunteer purposes",การเดินสลับยืน สำหรับงานอาสาสมัคร,adult
Video Games,วิดีโอเกม,22040,1.3,"Seated, video game, handheld controller (inactive)",นั่งเล่นวิดีโอเกม ใช้จอยควบคุมแบบพกพา (ไม่ได้ใช้งาน),adult
Video Games,วิดีโอเกม,22120,1.5,"Video game, handheld controller (light effort)","วิดีโอเกม, จอยควบคุมแบบพกพา (ใช้แรงน้อย)",adult
Video Games,วิดีโอเกม,22160,2.3,"Video game, light effort (Wii Fit, yoga, bowling, etc)","เกมวิดีโอ, กิจกรรมเบาๆ (Wii Fit, โยคะ, โบว์ลิ่ง ฯลฯ)",adult
Video Games,วิดีโอเกม,22200,3,"Active video game, motion sensing game/using upper body (light to moderate effort)",เกมวิดีโอที่ต้องใช้การเคลื่อนไหว/เกมที่ใช้ส่วนบนของร่างกาย (ออกแรงเบาถึงปานกลาง),adult
Video Games,วิดีโอเกม,22240,4,"Active video game, motion sensing game/using total body (moderate effort)",เกมวิดีโอที่ต้องใช้การเคลื่อนไหว/เกมที่ใช้ร่างกายทั้งหมด (ความพยายามระดับปานกลาง),adult
Video Games,วิดีโอเกม,22280,5,"Active video game, motion sensing game/using total body (moderate-to-vigorous effort)","วิดีโอเกมที่ต้องใช้การเคลื่อนไหว, เกมที่ใช้เซ็นเซอร์ตรวจจับการเคลื่อนไหว/การใช้ร่างกายทั้งหมด (ความพยายามระดับปานกลางถึงสูง)",adult
Video Games,วิดีโอเกม,22320,7.5,"Active video game, motion sensing game/using total body, exergames, workouts, dancing (vigorous effort)","วิดีโอเกมที่ต้องใช้การเคลื่อนไหว, เกมที่ใช้เซ็นเซอร์ตรวจจับการเคลื่อนไหว/ใช้ร่างกายทั้งหมด, เกมออกกำลังกาย, การออกกำลังกาย, การเต้นรำ (ออกแรงอย่างหนัก)",adult
Video Games,วิดีโอเกม,22360,9.8,"Conditioning/exercise virtual reality fitness, vigorous intensity",การฝึกความแข็งแรง/ออกกำลังกายด้วยเทคโนโลยีเสมือนจริง (VR) ที่มีความเข้มข้นสูง,adult
Bicycling,การปั่นจักรยาน,101060,5.3,"Bicycling, stationary, general, moderate effort",การปั่นจักรยานแบบอยู่กับที่ ทั่วไป ใช้แรงปานกลาง,older_adult
Bicycling,การปั่นจักรยาน,101160,4.3,"Bicycling, stationary, 30-50 watts, moderate effort",ปั่นจักรยานอยู่กับที่ กำลัง 30-50 วัตต์ ออกแรงปานกลาง,older_adult
Bicycling,การปั่นจักรยาน,101260,6.3,"Bicycling, stationary, 90-100 watts, vigorous effort",ปั่นจักรยานอยู่กับที่ กำลัง 90-100 วัตต์ ออกแรงอย่างเต็มที่,older_adult
Bicycling,การปั่นจักรยาน,101360,7.8,"Bicycling, stationary, 101-160 watts, vigorous effort",ปั่นจักรยานอยู่กับที่ กำลัง 101-160 วัตต์ ออกแรงอย่างเต็มที่,older_adult
Bicycling,การปั่นจักรยาน,101760,4.5,"Bicycling, stationary, 51-89 watts, moderate-to-vigorous effort",ปั่นจักรยานอยู่กับที่ กำลัง 51-89 วัตต์ ระดับความพยายามปานกลางถึงสูง,older_adult
Conditioning Activities,กิจกรรมเสริมสร้างสมรรถภาพ,202260,3.5,"Calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",การออกกำลังกายแบบกายบริหาร (เช่น วิดพื้น ซิทอัพ ดึงข้อ ลันจ์) ด้วยความพยายามระดับปานกลาง,older_adult
Conditioning Activities,กิจกรรมเสริมสร้างสมรรถภาพ,203560,4.5,"Circuit training, Parcour-type, moderate effort",การฝึกแบบเซอร์กิตเทรนนิ่ง รูปแบบพาร์คัวร์ ระดับความพยายามปานกลาง,older_adult
Conditioning Activities,กิจกรรมเสริมสร้างสมรรถภาพ,204760,3,"Elliptical trainer, light effort",เครื่องออกกำลังกายแบบวงรี ออกแรงเบาๆ,older_adult
Conditioning Activities,กิจกรรมเสริมสร้างสมรรถภาพ,205160,3,"Resistance (weight) training, squats , light effort",การฝึกความแข็งแรง (ยกน้ำหนัก) สควอท ออกแรงเบาๆ,older_adult
Conditioning Activities,กิจกรรมเสริมสร้างสมรรถภาพ,205360,2.3,"Resistance Training, general, light effort",การฝึกความแข็งแรงทั่วไป ใช้แรงเบาๆ,older_adult
Conditioning Activities,กิจกรรมเสริมสร้างสมรรถภาพ,205460,4.3,"Resistance (weight) training, multiple exercises, 8-15 repetitions at varied resistance",การฝึกความแข็งแรง (ยกน้ำหนัก) หลายท่า ทำซ้ำ 8-15 ครั้ง โดยใช้แรงต้านที่แตกต่างกัน,older_adult
Conditioning Activities,กิจกรรมเสริมสร้างสมรรถภาพ,206260,5,"Health club exercise, conditioning classes",การออกกำลังกายในฟิตเนส คลาสฝึกความแข็งแรง,older_adult
Conditioning Activities,กิจกรรมเสริมสร้างสมรรถภาพ,206360,3.8,"Health club exercise, conditioning classes, chair-based","การออกกำลังกายในฟิตเนส, คลาสฝึกความแข็งแรง, การออกกำลังกายโดยใช้เก้าอี้",older_adult
Conditioning Activities,กิจกรรมเสริมสร้างสมรรถภาพ,207260,6.5,"Rowing, stationary, 50 to 99 watts, moderate-to-vigorous effort",การพายเรือแบบอยู่กับที่ กำลัง 50 ถึง 99 วัตต์ ระดับความพยายามปานกลางถึงสูง,older_adult
Conditioning Activities,กิจกรรมเสริมสร้างสมรรถภาพ,207360,9,"Rowing, stationary, 100 to 149 watts, vigorous effort",การพายเรือแบบอยู่กับที่ กำลัง 100 ถึง 149 วัตต์ ออกแรงอย่างเต็มที่,older_adult
Conditioning Activities,กิจกรรมเสริมสร้างสมรรถภาพ,211360,3.5,"Therapeutic exercise ball, Fitball exercise, chair exercise","ลูกบอลออกกำลังกายเพื่อการบำบัด, ฟิตบอลออกกำลังกาย, เก้าอี้ออกกำลังกาย",older_adult
Conditioning Activities,กิจกรรมเสริมสร้างสมรรถภาพ,219060,2.5,"Yoga, general",โยคะทั่วไป,older_adult
Conditioning Activities,กิจกรรมเสริมสร้างสมรรถภาพ,219160,2.8,"Yoga, chair, general","โยคะ, เก้าอี้, ทั่วไป",older_adult
Conditioning Activities,กิจกรรมเสริมสร้างสมรรถภาพ,221060,3.8,"Tai Chi, general",ไท่เก๊กทั่วไป,older_adult
Conditioning Activities,กิจกรรมเสริมสร้างสมรรถภาพ,221160,2.8,"Tai Chi, chair, general","ไท่เก๊ก, เก้าอี้, ทั่วไป",older_adult
Dancing,เต้น,303060,6,"Ballroom Dance (tango, slow waltz, foxtrot)","การเต้นรำบอลรูม (แทงโก้, วอลซ์ช้า, ฟ็อกซ์ทรอต)",older_adult
Dancing,เต้น,303160,6.3,"Dance class, General",ชั้นเรียนเต้นรำทั่วไป,older_adult
Dancing,เต้น,303260,7.3,"Smooth Dance (Mazurka, Viennese Walk, Polka)","การเต้นรำแบบเรียบ (Mazurka, Viennese Walk, Polka)",older_adult
Home Activities,กิจกรรมภายในบ้าน,501060,4.3,"Cleaning, sweeping carpet or floors, general",การทำความสะอาดทั่วไป เช่น การกวาดพรมหรือพื้น,older_adult
Home Activities,กิจกรรมภายในบ้าน,502160,4.3,"Cleaning, mopping, standing, Moderate effort","การทำความสะอาด, การถูพื้น, การยืน, ออกแรงปานกลาง",older_adult
Home Activities,กิจกรรมภายในบ้าน,502260,3.5,"Cleaning windows, washing windows, general",การทำความสะอาดหน้าต่าง การล้างหน้าต่าง ทั่วไป,older_adult
Home Activities,กิจกรรมภายในบ้าน,502360,3,"Cleaning, mopping, standing, light effort","การทำความสะอาด, การถูพื้น, การยืน, การออกแรงเล็กน้อย",older_adult
Home Activities,กิจกรรมภายในบ้าน,503260,4,"Dusting or polishing furniture, general",การปัดฝุ่นหรือขัดเงาเฟอร์นิเจอร์ทั่วไป,older_adult
Home Activities,กิจกรรมภายในบ้าน,504060,4.5,"Cleaning, carrying out trash",การทำความสะอาด การขนขยะ,older_adult
Home Activities,กิจกรรมภายในบ้าน,504160,2.5,"Wash dishes, standing or in general (not broken into stand/walk components)",ล้างจานแบบยืนหรือแบบทั่วไป (ไม่ได้แบ่งเป็นส่วนยืน/เดิน),older_adult
Home Activities,กิจกรรมภายในบ้าน,504360,4.3,"Cleaning, vacuuming, general, moderate effort","การทำความสะอาด, การดูดฝุ่น, ทั่วไป, ใช้แรงปานกลาง",older_adult
Home Activities,กิจกรรมภายในบ้าน,505160,2.8,"Cooking, serving food, setting table, implied walking or standing",การทำอาหาร การเสิร์ฟอาหาร การจัดโต๊ะอาหาร ซึ่งหมายถึงการเดินหรือยืน,older_adult
Home Activities,กิจกรรมภายในบ้าน,505560,3,"Putting away groceries/dishes (e.g. carrying groceries, storing dishes in cabinet),",การจัดเก็บของชำ/จานชาม (เช่น การถือของชำ การเก็บจานชามในตู้),older_adult
Home Activities,กิจกรรมภายในบ้าน,506060,3.8,"Food shopping with or without a grocery cart, standing or walking",การซื้อของชำโดยใช้หรือไม่ใช้รถเข็น ยืนซื้อหรือเดินซื้อ,older_adult
Home Activities,กิจกรรมภายในบ้าน,507060,2.8,Ironing,การรีดผ้า,older_adult
Home Activities,กิจกรรมภายในบ้าน,509060,2,"Laundry, fold or hang clothes, put clothes in washer or dryer, packing suitcase, washing
clothes by hand, implied standing, light effort",ซักผ้า พับหรือแขวนผ้า ใส่ผ้าลงเครื่องซักผ้าหรือเครื่องอบผ้า จัดกระเป๋าเดินทาง ซักผ้าด้วยมือ (โดยนัยคือยืนอยู่) ใช้แรงเล็กน้อย,older_adult
Home Activities,กิจกรรมภายในบ้าน,509260,3.5,"Laundry, hanging wash, washing clothes by hand, moderate effort",การซักผ้า การตากผ้า การซักผ้าด้วยมือ ใช้แรงปานกลาง,older_adult
Home Activities,กิจกรรมภายในบ้าน,510060,4,"Making bed, changing linens",จัดเตียง เปลี่ยนผ้าปูที่นอน,older_adult
Home Activities,กิจกรรมภายในบ้าน,512060,5,"Moving furniture, household items, carrying boxes",การขนย้ายเฟอร์นิเจอร์ ของใช้ในบ้าน และการยกกล่อง,older_adult
Home Repair,ซ่อมแซมบ้าน,612760,4,"Home repair, general, moderate effort",งานซ่อมแซมบ้านทั่วไป ระดับความยากปานกลาง,older_adult
Inactivity,การไม่เคลื่อนไหว,701060,1.3,Lying quietly and watching television,นอนนิ่งๆ และดูโทรทัศน์,older_adult
Inactivity,การไม่เคลื่อนไหว,701160,1.3,"Lying quietly, doing nothing, lying in bed awake,",นอนนิ่งๆ ไม่ทำอะไรเลย นอนอยู่บนเตียงโดยไม่หลับตา,older_adult
Inactivity,การไม่เคลื่อนไหว,702060,1.3,Sitting quietly and watching television,นั่งเงียบๆ และดูโทรทัศน์,older_adult
Inactivity,การไม่เคลื่อนไหว,702160,1.3,"Sitting quietly, general",นั่งเงียบๆ นายพล,older_adult
Inactivity,การไม่เคลื่อนไหว,704060,1.5,"Standing quietly, standing in a line",ยืนนิ่งๆ ยืนเรียงแถว,older_adult
Lawn and Garden,สนามหญ้าและสวน,805060,4.8,"Digging, spading, filling garden, compositing, moderate effort",การขุดดิน การพรวนดิน การถมสวน การทำปุ๋ยหมัก (ใช้แรงปานกลาง),older_adult
Lawn and Garden,สนามหญ้าและสวน,805260,7.3,"Digging, spading, filling garden, composting, vigorous effort",การขุดดิน การพรวนดิน การถมสวน การทำปุ๋ยหมัก การออกแรงอย่างเต็มที่,older_adult
Lawn and Garden,สนามหญ้าและสวน,806160,4.8,"Gardening, building garden bed",การทำสวน การสร้างแปลงปลูกผัก,older_adult
Lawn and Garden,สนามหญ้าและสวน,806560,3,"Gardening, mixing soil",การทำสวน การผสมดิน,older_adult
Lawn and Garden,สนามหญ้าและสวน,809160,3.5,Laying mulch,การปูวัสดุคลุมดิน,older_adult
Lawn and Garden,สนามหญ้าและสวน,809560,6.8,"Mowing lawn, general",การตัดหญ้าทั่วไป,older_adult
Lawn and Garden,สนามหญ้าและสวน,813560,3.3,"Planting, potting, transplanting seedlings or plants, light-moderate effort",การปลูก การลงกระถาง การย้ายต้นกล้าหรือต้นไม้ ใช้แรงปานกลางถึงมาก,older_adult
Lawn and Garden,สนามหญ้าและสวน,816060,4,"Raking lawn or leaves, moderate effort",การกวาดสนามหญ้าหรือใบไม้ (ใช้แรงปานกลาง),older_adult
Lawn and Garden,สนามหญ้าและสวน,821060,3.3,"Trimming shrubs or trees, manual cutter",การตัดแต่งพุ่มไม้หรือต้นไม้ด้วยเครื่องตัดมือ,older_adult
Lawn and Garden,สนามหญ้าและสวน,821560,3.8,"Trimming shrubs or trees, power cutter, using leaf blower, edge, moderate effort",การตัดแต่งพุ่มไม้หรือต้นไม้ การใช้เครื่องตัดไฟฟ้า การใช้เครื่องเป่าใบไม้ การตัดขอบ การใช้แรงปานกลาง,older_adult
Lawn and Garden,สนามหญ้าและสวน,822060,5.3,"Walking, applying fertilizer",การเดิน การใส่ปุ๋ย,older_adult
Lawn and Garden,สนามหญ้าและสวน,823060,3.3,"Watering lawn or garden, standing or walking",รดน้ำสนามหญ้าหรือสวน ยืน หรือเดิน,older_adult
Lawn and Garden,สนามหญ้าและสวน,823960,4.8,"Weeding, cultivating garden, light-to-moderate effort",การกำจัดวัชพืช การดูแลสวน ใช้แรงน้อยถึงปานกลาง,older_adult
Lawn and Garden,สนามหญ้าและสวน,824660,3.5,"Picking fruit off trees, picking fruits/vegetables, moderate effort",การเก็บผลไม้จากต้นไม้ การเก็บผลไม้/ผัก ใช้แรงปานกลาง,older_adult
Lawn and Garden,สนามหญ้าและสวน,826160,5,"Yard work, general, moderate effort",งานดูแลสวนทั่วไป ใช้แรงปานกลาง,older_adult
Lawn and Garden,สนามหญ้าและสวน,826560,3.8,"Gardening, general, moderate effort",การทำสวนทั่วไป ใช้ความพยายามปานกลาง,older_adult
Miscellaneous,เบ็ดเตล็ด,901060,1.5,"Card playing, sitting",เล่นไพ่ นั่ง,older_adult
Occupation,อาชีพ,1101060,1.5,"Typing, electric, manual or computer",การพิมพ์ ไม่ว่าจะเป็นแบบไฟฟ้า แบบใช้มือ หรือแบบใช้คอมพิวเตอร์,older_adult
Running,วิ่ง,1202860,8.5,"Running, 3.6 mph (17 min/mile)",วิ่งด้วยความเร็ว 3.6 ไมล์ต่อชั่วโมง (17 นาทีต่อไมล์),older_adult
Running,วิ่ง,1207060,15.8,"Running, 7 mph (8.5 min/mile)",วิ่งด้วยความเร็ว 7 ไมล์ต่อชั่วโมง (8.5 นาทีต่อไมล์),older_adult
Self Care,การดูแลตนเอง,1302060,3,"Dressing, undressing, standing or sitting",การแต่งตัว การถอดเสื้อผ้า การยืน หรือการนั่ง,older_adult
Self Care,การดูแลตนเอง,1304060,2.8,"Grooming, washing hands, shaving, brushing teeth, putting on make-up, sitting or standing",การดูแลตัวเอง การล้างมือ การโกนหนวด การแปรงฟัน การแต่งหน้า การนั่ง หรือการยืน,older_adult
Sports,กีฬา,1528560,4.3,"Golf, walking, pulling clubs","กอล์ฟ, การเดิน, การดึงไม้กอล์ฟ",older_adult
Sports,กีฬา,1540060,2.8,"Horseback riding, simulated",การขี่ม้าจำลอง,older_adult
Sports,กีฬา,1552560,5.3,"Pickleball, competitive",พิคเคิลบอล (การแข่งขัน),older_adult
Transportation,การเดินทาง,1606060,4.3,"Walking for transportation, 2.8-3.2 mph, level, moderate pace, firm surface",การเดินเพื่อการเดินทาง ความเร็ว 2.8-3.2 ไมล์ต่อชั่วโมง พื้นราบ ก้าวเดินปานกลาง พื้นผิวแข็ง,older_adult
Walking,เดิน,1713360,4,"Stair climbing, slow pace","การปีนบันได, ก้าวช้าๆ",older_adult
Walking,เดิน,1713460,6.5,"Stair climbing, fast pace","การปีนบันได, รวดเร็ว",older_adult
Walking,เดิน,1713560,2,"Ascending stairs, using cane",การขึ้นบันไดโดยใช้ไม้เท้า,older_adult
Walking,เดิน,1713660,3,"Ascending stairs, using standard walker",การขึ้นบันไดโดยใช้เครื่องช่วยเดินแบบมาตรฐาน,older_adult
Walking,เดิน,1713760,3.3,"Ascending stairs, using wheeled walker",การขึ้นบันไดโดยใช้รถเข็นช่วยเดิน,older_adult
Walking,เดิน,1715160,3,"Walking, less than 1.0 mph, level, strolling, very slow",เดินช้าๆ ไม่เกิน 1 ไมล์ต่อชั่วโมง บนพื้นราบ เดินช้ามาก,older_adult
Walking,เดิน,1715260,4,"Walking, 1.0 to 1.9 mph, level, slow pace, firm surface",การเดิน ความเร็ว 1.0 ถึง 1.9 ไมล์ต่อชั่วโมง พื้นราบ เดินช้าๆ พื้นผิวแข็ง,older_adult
Walking,เดิน,1715360,3.8,"Walking, 2.0 mph, level, slow pace, firm surface",เดินด้วยความเร็ว 2.0 ไมล์ต่อชั่วโมง บนพื้นราบ ก้าวช้าๆ พื้นผิวแข็ง,older_adult
Walking,เดิน,1717060,4.5,"Walking, 2.2 to 2.7 mph, level, firm surface",การเดิน ความเร็ว 2.2 ถึง 2.7 ไมล์ต่อชั่วโมง บนพื้นราบและแข็ง,older_adult
Walking,เดิน,1719060,5.3,"Walking, 2.8 to 3.2 mph, level, moderate pace, firm surface",การเดิน ความเร็ว 2.8 ถึง 3.2 ไมล์ต่อชั่วโมง พื้นราบ จังหวะปานกลาง พื้นผิวแข็ง,older_adult
Walking,เดิน,1720060,6,"Walking, 3.3 to 3.7 mph, level, brisk, firm surface, walking for exercise",การเดิน ความเร็ว 3.3 ถึง 3.7 ไมล์ต่อชั่วโมง บนพื้นราบ เดินเร็ว พื้นผิวแข็ง การเดินเพื่อออกกำลังกาย,older_adult
Walking,เดิน,1720160,5.5,"Walking, brisk pace, general","การเดิน, จังหวะเร็ว, ทั่วไป",older_adult
Walking,เดิน,1720960,5,"Walking, 1.5 to 2.0 mph, 2.5 to 5% grade",การเดิน ความเร็ว 1.5 ถึง 2.0 ไมล์ต่อชั่วโมง ความลาดชัน 2.5 ถึง 5%,older_adult
Walking,เดิน,1722060,7.3,"Walking, 4.0 to 4.2 mph, level, firm surface, very brisk pace",เดินด้วยความเร็ว 4.0 ถึง 4.2 ไมล์ต่อชั่วโมง บนพื้นราบและแข็ง ด้วยจังหวะที่ค่อนข้างเร็ว,older_adult
Walking,เดิน,1723060,9,"Walking, 4.5 mph, level, firm surface, very, very brisk",เดินด้วยความเร็ว 4.5 ไมล์ต่อชั่วโมง บนพื้นราบและแข็ง เร็วมาก ๆ,older_adult
Walking,เดิน,1726260,4,"Walking, leasurly, self-selected pace, general",เดินเล่นสบายๆ ด้วยความเร็วตามใจชอบ โดยทั่วไป,older_adult
Walking,เดิน,1731060,7,"Walking, for exercise, with ski poles, Nordic walking,",การเดินออกกำลังกายโดยใช้ไม้สกี (นอร์ดิกวอล์คกิ้ง),older_adult
Walking,เดิน,1733060,3.5,"Walking, with a cane",การเดินโดยใช้ไม้เท้า,older_adult
Walking,เดิน,1734060,3.5,"Walking, with standard walker",การเดิน โดยใช้เครื่องช่วยเดินแบบมาตรฐาน,older_adult
Walking,เดิน,1735060,3.5,"Walking, with wheeled Walker",การเดินโดยใช้เครื่องช่วยเดินแบบมีล้อ,older_adult
Winter Activities,กิจกรรมฤดูหนาว,1916060,5.3,"Skiing, downhill, alpine or snowboarding, moderate effort, general, active time only",การเล่นสกี ไม่ว่าจะเป็นสกีลงเขา สกีลงเขา หรือสโนว์บอร์ด เป็นกิจกรรมระดับปานกลาง ทั่วไป ใช้เวลาทำกิจกรรมเท่านั้น,older_adult
Winter Activities,กิจกรรมฤดูหนาว,1917060,6.8,"Skiing, downhill, alpine or snowboarding, vigorous effort, general, active time only",การเล่นสกี ไม่ว่าจะเป็นสกีลงเขา สกีลงเขา หรือสโนว์บอร์ด ต้องใช้แรงมาก โดยทั่วไปแล้วใช้เวลาทำกิจกรรมเท่านั้น,older_adult
Winter Activities,กิจกรรมฤดูหนาว,1925460,8,"Snow shoveling, by hand, vigorous effort",การโกยหิมะด้วยมือ ต้องใช้แรงอย่างมาก,older_adult
Video Games,วิดีโอเกม,2210060,1.8,"Seated, video game, handheld controller (inactive)",นั่งเล่นวิดีโอเกม ใช้จอยควบคุมแบบพกพา (ไม่ได้ใช้งาน),older_adult
Video Games,วิดีโอเกม,2220060,2.8,"Video game, light effort (Wii Fit, yoga, bowling, etc)","เกมวิดีโอ, กิจกรรมเบาๆ (Wii Fit, โยคะ, โบว์ลิ่ง ฯลฯ)",older_adult
Video Games,วิดีโอเกม,2230060,3.5,"Active video game, motion sensing game/using upper body (light to moderate effort)",เกมวิดีโอที่ต้องใช้การเคลื่อนไหว/เกมที่ใช้ส่วนบนของร่างกาย (ออกแรงเบาถึงปานกลาง),older_adult
Video Games,วิดีโอเกม,2240060,5.5,"Active video game, motion sensing game/using total body (moderate effort)",เกมวิดีโอที่ต้องใช้การเคลื่อนไหว/เกมที่ใช้ร่างกายทั้งหมด (ความพยายามระดับปานกลาง),older_adult
Video Games,วิดีโอเกม,2250060,7.8,"Active video game, motion sensing game/using total body (moderate to vigorous effort)",เกมวิดีโอที่ต้องใช้การเคลื่อนไหว/เกมที่ใช้ร่างกายทั้งหมด (ออกแรงปานกลางถึงหนัก),older_adult
Exercise,ออกกำลังกาย,90101,1.7,Aerobics,แอโรบิก,wheelchair_adult
Exercise,ออกกำลังกาย,90102,2.2,Arm Ergometry 16W,เครื่องวัดสมรรถภาพแขน 16W,wheelchair_adult
Exercise,ออกกำลังกาย,90103,2.3,Arm Ergometry 20W,เครื่องวัดกำลังแขน 20 วัตต์,wheelchair_adult
Exercise,ออกกำลังกาย,90104,2.7,Arm Ergometry 30‐32W,การวัดกำลังแขน 30-32 วัตต์,wheelchair_adult
Exercise,ออกกำลังกาย,90105,3.5,Arm Ergometry 40‐48W,การทดสอบสมรรถภาพแขน 40-48 วัตต์,wheelchair_adult
Exercise,ออกกำลังกาย,90106,4.6,Arm Ergometry  60‐64W,การวัดกำลังแขน 60-64 วัตต์,wheelchair_adult
Exercise,ออกกำลังกาย,90107,4.4,Arm Ergometry 80W,เครื่องวัดกำลังแขน 80 วัตต์,wheelchair_adult
Exercise,ออกกำลังกาย,90108,5.4,Arm Ergometry 96W,เครื่องวัดสมรรถภาพแขน 96 วัตต์,wheelchair_adult
Exercise,ออกกำลังกาย,90109,2.3,"Arm Ergometry (self‐selected intensity, moderate)",การทดสอบสมรรถภาพแขน (ความเข้มข้นระดับปานกลาง เลือกได้เอง),wheelchair_adult
Exercise,ออกกำลังกาย,90110,4.3,"Arm Ergometry exercise (self‐selected intensity, vigorous)",การออกกำลังกายโดยใช้เครื่องวัดกำลังแขน (ความเข้มข้นเลือกเองได้ ระดับหนัก),wheelchair_adult
Exercise,ออกกำลังกาย,90111,2.2,Eccentric Arm Ergometry,การวัดแรงต้านของแขนแบบผิดปกติ,wheelchair_adult
Exercise,ออกกำลังกาย,90120,3,Handcycle ‐ 8 km/h,จักรยานมือปั่น - 8 กม./ชม.,wheelchair_adult
Exercise,ออกกำลังกาย,90121,7.5,Handcycle ‐ 16 km/h,จักรยานมือปั่น - 16 กม./ชม.,wheelchair_adult
Exercise,ออกกำลังกาย,90122,3.6,Handcycle ergometer (general),เครื่องฝึกปั่นจักรยานมือ (ทั่วไป),wheelchair_adult
Exercise,ออกกำลังกาย,90123,4.5,Handcycle racing,การแข่งรถแฮนด์ไซเคิล,wheelchair_adult
